fixedPlayerID,fixedBackgroundName,fixedBackgroundSeason,fixedBackgroundList,fixedBackgroundTeam,fixedBackgroundDraft,fixedBackgroundPick,fixedBackgroundAge,fixedBackgroundU18Champs,fixedBackgroundStateLeague,fixedPositionPosition,fixedBackgroundReserves,fixedSplitsRegularCBA,fixedSplitsRegularKICKIN,fixedSplitsH1CBA,fixedSplitsH1KICKIN,fixedSplitsH2CBA,fixedSplitsH2KICKIN,fixedSplitsLast5CBA,fixedSplitsLast5KICKIN,fixedSplitsFinalsCBA,fixedSplitsFinalsKICKIN,fixedPracticeCBA,fixedPracticeKICKIN,fixedPreseasonCBA,fixedPreseasonKICKIN,fixedBestMatches,fixedBestCBA,fixedBestTOG,fixed2022Matches,fixed2022CBA,fixed2022TOG,fixed2021Matches,fixed2021CBA,fixed2021TOG,fixed2020Matches,fixed2020CBA,fixed2020TOG,fixed2019Matches,fixed2019TOG,fixed2018Matches,fixed2018TOG,fixed2017Matches,fixed2017TOG
CD_I1013224,Heath Chapman,3,Snr,FRE,2020 National,14,21,none,95 [WAFL Colts],DEF,93,0,0.666666667,0,1.111111111,0,0,0,0,0,0,none,none,none,none,17,0,83,17,0,82.82352941,6,0,83,none,none,none,none,none,none,none,none,none
CD_I294685,Zac Williams,11,Snr,CARL,2012 Rookie,54,28,none,none,DEF,none,0,36.11111111,0,36.5,0,33,0,33,none,none,none,none,none,none,24,13.14285714,80.5,9,0,72.22222222,14,13.14285714,73.5,11,5.617579302,74.90909091,24,76,2,75.8,23,80.5
CD_I990609,Charlie Cameron,10,Snr,BL,2013 Rookie,7,28,none,none,FWD,none,0.181818182,0,0,0,0.444444444,0,0,0,0,0,none,none,none,none,25,2.916666667,87.52631579,25,0.16,86,24,2.916666667,86.75,19,0.280112045,87.52631579,24,86.4,11,78.7,24,83.3
CD_I294859,Jeremy McGovern,13,Snr,WCE,2010 Rookie,44,30,none,none,DEF,none,0,18.3,0,19.11111111,0,11,none,none,none,none,none,none,none,none,24,0.466666667,84.7,10,0,75.7,15,0.466666667,80.26666667,12,0,78.41666667,23,84.4,24,82.9,24,84.7
CD_I1011936,Justin McInerney,5,Snr,SYD,2018 National,44,22,none,66 [NAB League],MID,none,2.947368421,0,4.7,0,1,0,1,0,0,0,none,none,none,none,22,3.952380952,81.84615385,22,2.545454545,80.59090909,10.5,3.952380952,78.73557692,9,0,81.77777778,1,56,none,none,none,none
CD_I1006058,Bailey Scott,5,Snr,NMFC,2018 National,49,22,none,75 [NEAFL],DEF/MID,none,0,4.904761905,0,6.230769231,0,2.75,0,0,none,none,none,none,none,none,21,1.117647059,85.28571429,21,0,85.28571429,16,1.117647059,79.375,13,0.811965812,81.76923077,4,72.5,none,none,none,none
CD_I998103,Oliver Florent,7,Snr,SYD,2016 National,11,24,53.5,93 [NAB League],DEF,none,11.81818182,0.454545455,20.33333333,0.833333333,1.6,0,0.6,0,1,0,none,none,none,none,25,52.15663955,83.5,25,10.52,82.72,23,20.30434783,80.60869565,17,52.15663955,81.58823529,21,83.5,23,79.7,9,75.5
CD_I298289,Peter Wright,9,Snr,ESS,2014 National,8,26,none,none,FWD,none,7,0,6.272727273,0,7.727272727,0,14.4,0,none,none,none,none,none,none,22,24.23809524,98.27272727,22,7,98.27272727,21,24.23809524,80.9047619,zero,zero,zero,17,85.6,7,75.7,22,88
CD_I998215,Will Setterfield,7,Snr,ESS,2016 National,5,25,38.5,95 [NAB League],MID,92,11.5,0,0.5,0,22.5,0,27,0,none,none,none,none,none,none,18,45.2662698,78.8125,12,11.5,74.5,8,29.75,76.25,16,45.2662698,78.8125,18,78.6,zero,zero,2,56
CD_I998260,Jack Bowes,7,Snr,GEE,2016 National,10,25,67.1,118 [NEAFL],DEF,92.375,0,26,none,none,0,26,none,none,none,none,none,none,none,none,19,0,82.64705882,5,0,70.8,19,0,79.84210526,17,0,82.64705882,15,74.8,16,78.2,11,72.1
CD_I280317,Rhys Stanley,14,Snr,GEE,2008 National,47,32,none,none,RUC,none,78.88235294,0,81.11111111,0,76.375,0,63.66666667,0,79,0,none,none,none,none,21,80.2440195,88.7,20,78.9,73.75,19,79.94736842,74.05263158,11,80.2440195,79.63636364,18,81.8,15,79.2,13,76.8
CD_I296422,Callum Wilkie,5,Snr,STK,2018 Rookie,3,27,none,109 [SANFL League],DEF,none,0,2.818181818,0,1.272727273,0,4.363636364,0,2.6,none,none,none,none,none,none,22,0,98.86363636,22,0,98.86363636,22,0,96.68181818,19,0,88.26315789,22,88.9,none,none,none,none
CD_I1000864,Lachlan Bramble,3,Snr,HAW,2020 SSP,none,24,none,none,DEF,66,1.888888889,20.22222222,2.428571429,19.28571429,0,23.5,none,none,none,none,none,none,none,none,10,1.888888889,83.6,9,1.888888889,81.77777778,10,0,83.6,none,none,none,none,none,none,none,none,none
CD_I993794,Blake Hardwick,8,Snr,HAW,2015 National,44,26,none,none,DEF,none,0,32.22727273,0,27.61538462,0,38.88888889,0,37.4,none,none,none,none,none,none,24,0,87.04545455,22,0,87.04545455,20,0,85.1,16,0,82.75,22,85.2,24,84.7,19,78.6
CD_I1002264,Hunter Clark,6,Snr,STK,2017 National,7,23,70.6,109 [NAB League],DEF,83,2.125,2.75,none,none,2.125,2.75,0,4.4,none,none,none,none,none,none,18,14.15384615,81.72222222,8,2.125,67.625,13,14.15384615,71.38461538,18,10.62796414,81.72222222,14,77.3,15,71,none,none
